CBO,Website,Sector/Services,Grade Level,Auburn,Federal Way,Highline,Kent,Renton,Seattle,Tukwila,Data Platform(s),Contact,Email,Confirmed?,Notes
Boys & Girls Clubs of King County,positiveplace.org,"Afterschool, Athletics, Early learning",PK–12,,x,x,,x,x,,KidTrax,TBD,,Y,
College Access Now,www.collegeaccessnow.org,College access,9–12+,,,,,,x,,DreamSIS,Jennifer Moore,jennifer@collegeaccessnow.org,Y,
East African Community Services,www.eastafricancs.org,"Tutoring, Summer, STEM",5–8,,,,,,x,,Excel,Faisal Jama,faisal@eastafricancs.org,Y,
Rainier Scholars,rainierscholars.org,"College access, Leadership",5–12+,,,x,,x,x,,Dynamics,Jeanne Chowning,jchowning@rainierscholars.org,Y,
Renton Area Youth and Family Services,www.rays.org,"Youth development, Mental health",,,,,,x,,x,"Access, Excel","Morgan Wells, Melissa, Ryan",morganw@rays.org; melissaa@rays.org; ryanq@rays.org,Y,
New Futures (SWYFS),www.swyfs.org,"Youth development, Family advocacy",,,,x,,,x,,"Access, Excel",Megan McJennett,mmcjennett@swyfs.org,Y,Working with SVP to replace data systems
Treehouse,www.treehouseforkids.org,Foster youth,,x,x,x,x,x,x,x,Dynamics,Spencer Oswald,spencer@treehouseforkids.org,Y,
UW Dream Project,www.dreamproject.org,"College access, Leadership",9–12+,x,x,x,x,x,x,x,DreamSIS,Jenée Myers Twitchell; Mitchell Harper,myersja@uw.edu; mitchwharper@gmail.com,Y,
Auburn Valley YMCA,www.seattleymca.org/Locations/Auburn,Youth development,,x,,,,,,,,Roxana Garcia,rgarcia@seattleymca.org,N,
Communities in Schools Federal Way,,,,,,,,,,,,Tracy,,,
Communities in Schools Seattle,,,,,,,,,,,,Beth Graves,,,
Community Schools Collaboration,,,,,,,,,,,,,,,
Neighborhood House,,,,,,,,,,,,,,,
OneAmerica,,,,,,,,,,,,,,,
Open Doors,,,,,,,,,,,,,,,
Seattle Education Access,,,,,,,,,,,,Jeff Correy,,,
Seattle Youth Initiative,,,,,,,,,,,,,,,
Somali Youth & Family Club,,,,,,,,,,,,,,,
STEP Ahead,,,,,,,,,,,,,,,
Horn of Africa,,,,,,,,,,,,,,,
Vietnamese Friendship Association,,,,,,,,,,,,James Hong,,N,
